Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
1, 6637, 4578, 17400200, 1032582, 2500864, 6131438, 33821 
337, 6555, 3125, 11878800, 3026110, 5035159, 11726666, 279594 
338, 6555, 8370, 31806000, 8417725, 25197805, 23426610, 526171 
339, 6555, 8280, 31464000, 8417647, 25197552, 23334599, 526255 
340, 6555, 15887, 60370600, 14475631, 35263049, 52291174, 1079196 
341, 6555, 3200, 12160000, 3033256, 5033122, 12081689, 280071 
342, 6555, 3140, 11928200, 3033243, 5033122, 11853075, 280056 
343, 6555, 17, 64600, 4097, 9782, 28269, 202 
344, 6555, 1, 3800, 340, 704, 2598, 4 
1, 6638, 4523, 17187400, 1032133, 2499597, 5892581, 35623 
